City,State,helper,Text,Staid,tenTen,tenTwenty
Atlanta,GA,a,aGA,80,125,219
Sacramento,CA,a,aCA,80,124,237
Springfield,MA,a,aMA,80,132,220
Rancho Cucamonga,CA,a,aCA,79,119,195
Kent,WA,a,aWA,77,112,224
Phoenix,AZ,a,aAZ,77,119,206
Portland,OR,a,aOR,77,121,203
Saint Paul,MN,a,aMN,74,119,161
Glendale,AZ,a,aAZ,73,113,181
Nashville,TN,a,aTN,73,117,209
Warren,MI,a,aMI,73,99,184
Wichita,KS,a,aKS,72,136,246
Cleveland,OH,a,aOH,71,106,184
Kansas City,MO,a,aMO,71,120,186
Las Vegas,NV,a,aNV,71,108,198
Norfolk,VA,a,aVA,71,106,170
Durham,NC,a,aNC,70,111,205
El Paso,TX,a,aTX,70,107,190
Jacksonville,FL,a,aFL,70,110,194
Lancaster,CA,a,aCA,70,121,196
Richmond,VA,a,aVA,70,111,183
Saint Petersburg,FL,a,aFL,70,119,195
Virginia Beach,VA,a,aVA,70,112,200
Hollywood,FL,a,aFL,69,126,224
Baltimore,MD,a,aMD,68,106,187
Chicago,IL,a,aIL,68,118,219
Hialeah,FL,a,aFL,68,111,210
Lafayette,LA,a,aLA,68,109,181
Orlando,FL,a,aFL,68,111,198
West Valley City,UT,a,aUT,68,86,140
Manchester,NH,a,aNH,67,132,210
Memphis,TN,a,aTN,67,117,204
Tempe,AZ,a,aAZ,67,113,199
Birmingham,AL,a,aAL,66,112,215
Clarksville,TN,a,aTN,66,99,137
Omaha,NE,a,aNE,66,96,128
Augusta,GA,a,aGA,65,87,151
Corpus Christi,TX,a,aTX,65,119,202
Henderson,NV,a,aNV,65,116,182
Tampa,FL,a,aFL,65,117,200
Albuquerque,NM,a,aNM,64,101,186
Austin,TX,a,aTX,64,115,192
Des Moines,IA,a,aIA,64,86,144
Nashua,NH,a,aNH,64,104,173
Columbia,SC,a,aSC,63,101,176
Mobile,AL,a,aAL,63,98,146
Chesapeake,VA,a,aVA,62,110,207
Dallas,TX,a,aTX,62,119,213
Hartford,CT,a,aCT,62,90,214
Newport News,VA,a,aVA,62,106,172
Tulsa,OK,a,aOK,62,106,191
Vancouver,WA,a,aWA,62,116,198
Fayetteville,NC,a,aNC,61,94,176
Overland Park,KS,a,aKS,61,121,209
Fort Wayne,IN,a,aIN,60,95,157
Mesa,AZ,a,aAZ,60,99,186
Peoria,AZ,a,aAZ,60,112,211
San Antonio,TX,a,aTX,59,101,175
Charlotte,NC,a,aNC,58,90,170
Mesquite,TX,a,aTX,58,100,171
Pittsburgh,PA,a,aPA,58,90,169
Boise,ID,a,aID,57,112,
Louisville,KY,a,aKY,57,99,178
Minneapolis,MN,a,aMN,57,105,185
Chandler,AZ,a,aAZ,56,106,177
Greensboro,NC,a,aNC,56,91,186
Joliet,IL,a,aIL,56,95,141
Saint Louis,MO,a,aMO,56,89,160
Denver,CO,a,aCO,55,93,161
Port Saint Lucie,FL,a,aFL,55,92,165
Riverside,CA,a,aCA,55,,
Columbus,OH,a,aOH,54,84,166
Indianapolis,IN,a,aIN,54,98,156
Winston-Salem,NC,a,aNC,54,96,222
Colorado Springs,CO,a,aCO,53,86,186
Akron,OH,a,aOH,52,114,
Huntsville,AL,a,aAL,51,91,176
Shreveport,LA,a,aLA,51,88,
Arlington,TX,a,aTX,50,105,166
Cincinnati,OH,a,aOH,49,92,151
Houston,TX,a,aTX,48,88,167
Oklahoma City,OK,a,aOK,48,73,125
Aurora,CO,a,aCO,47,74,128
Fort Worth,TX,a,aTX,45,83,140
Garland,TX,a,aTX,44,77,165
Chattanooga,TN,a,aTN,42,77,139
Grand Prairie,TX,a,aTX,42,81,140
Milwaukee,WI,a,aWI,42,75,127
Montgomery,AL,a,aAL,42,87,166
Raleigh,NC,a,aNC,41,72,136
Frisco,TX,a,aTX,40,86,150
McKinney,TX,a,aTX,40,99,150
Meridian,ID,a,aID,38,77,140
Denton,TX,a,aTX,,124,237
